ticket	symbol	type	open_time	close_time	open_price	close_price	volume	profit	swap	commission	duration_min	fib_level	velocity	volume_ratio	rsi_accel	signal_score
256964893	GOLD	BUY	2026.07.16 11:15	2026.07.16 11:20	4025.83	4030.11	0.01	-4.28	0.00	-0.04	5	4025.22	6.70	0.41	5.9299	5
257046002	GOLD	SELL	2026.07.16 11:45	2026.07.16 13:59	4033.99	4028.89	0.01	-5.10	0.00	-0.04	134	4025.22	0.00	0.53	5.2610	5
257117150	GOLD	SELL	2026.07.16 14:45	2026.07.16 15:15	4035.15	4027.12	0.01	-8.03	0.00	-0.04	30	4025.22	-2.20	0.67	5.0473	5
257154927	GOLD	BUY	2026.07.16 15:15	2026.07.16 15:40	4026.74	4012.44	0.01	14.30	0.00	-0.04	24	4012.05	3.00	0.77	5.5571	5
257210058	GOLD	BUY	2026.07.16 15:45	2026.07.16 16:05	4001.85	3974.67	0.01	27.18	0.00	-0.04	20	3993.31	2.80	0.88	5.5372	5
257235170	GOLD	BUY	2026.07.16 16:05	2026.07.16 16:25	3974.59	3999.86	0.01	-25.27	0.00	-0.04	20	3993.31	-23.60	1.02	3.1072	5
257314192	GOLD	BUY	2026.07.16 16:40	2026.07.16 17:27	3986.36	3998.70	0.01	-12.34	0.00	-0.04	47	3993.31	-28.50	0.11	3.9426	5
257414552	GOLD	SELL	2026.07.16 18:25	2026.07.16 19:12	4009.07	3994.83	0.01	-14.24	0.00	-0.04	46	3993.31	-39.00	0.25	2.8667	5
257519449	GOLD	BUY	2026.07.16 19:12	2026.07.16 21:35	3994.56	3977.51	0.01	17.05	0.00	-0.04	143	3993.31	-40.70	0.40	2.7195	5
257545731	GOLD	SELL	2026.07.16 21:50	2026.07.16 22:26	3982.82	3978.99	0.01	-3.83	0.00	-0.04	36	3993.31	-42.40	0.54	2.5737	5
257582123	GOLD	BUY	2026.07.16 23:25	2026.07.16 23:26	3972.72	3975.12	0.01	-2.40	0.00	-0.04	1	3993.31	10.70	0.79	2.7799	5
257597746	GOLD	SELL	2026.07.17 01:07	2026.07.17 01:24	3978.56	3974.95	0.01	-3.61	0.00	-0.04	17	3993.31	10.70	0.79	-1.5267	5
257622038	GOLD	SELL	2026.07.17 02:00	2026.07.17 02:59	3978.52	3984.99	0.01	6.47	0.00	-0.04	59	3993.31	10.70	0.79	-1.5267	5
257657156	GOLD	SELL	2026.07.17 03:55	2026.07.17 04:06	3987.54	3995.10	0.01	7.56	0.00	-0.04	11	3993.31	10.70	0.79	-1.5267	5
257678239	GOLD	SELL	2026.07.17 04:06	2026.07.17 04:51	3994.35	3981.85	0.01	-12.50	0.00	-0.04	44	3993.31	10.70	0.79	-1.5267	5
257722153	GOLD	BUY	2026.07.17 04:55	2026.07.17 06:07	3979.98	3990.67	0.01	-10.69	0.00	-0.04	71	3993.31	10.70	0.79	-1.5267	5
257731175	GOLD	SELL	2026.07.17 06:12	2026.07.17 06:20	3990.68	4006.84	0.01	16.16	0.00	-0.04	8	4012.05	10.70	0.79	-1.5267	5
257774770	GOLD	SELL	2026.07.17 06:20	2026.07.17 08:05	4007.21	3979.49	0.01	-27.72	0.00	-0.04	105	3993.31	10.70	0.79	-1.5267	5
257880829	GOLD	SELL	2026.07.17 09:20	2026.07.17 11:00	4002.64	3992.39	0.01	-10.25	0.00	-0.04	99	3993.31	10.70	0.79	-1.5267	5
257913334	GOLD	BUY	2026.07.17 11:20	2026.07.17 11:48	3991.36	3997.17	0.01	-5.81	0.00	-0.04	28	3993.31	10.70	0.79	-1.5267	5
258041820	GOLD	SELL	2026.07.17 12:00	2026.07.17 15:20	3994.02	3987.57	0.01	-6.45	0.00	-0.04	200	3993.31	10.70	0.79	-1.5267	5
275976613	GOLD	BUY	2026.07.14 22:10	2026.07.15 02:10	4054.35	4048.64	0.01	93.41	4.42	0.00	240	4043.18	-42.70	1.08	2.5571	5
276017279	GOLD	SELL	2026.07.15 04:03	2026.07.15 04:33	4057.66	4048.10	0.01	-156.48	0.00	0.00	30	4043.18	-10.80	0.04	2.7459	5
276124958	GOLD	BUY	2026.07.15 05:27	2026.07.15 09:27	4032.90	4028.17	0.01	77.19	0.00	0.00	240	4029.09	-19.90	0.19	1.9808	5
276131392	GOLD	BUY	2026.07.15 09:27	2026.07.15 09:42	4027.64	4031.35	0.01	-60.67	0.00	0.00	14	4029.09	-13.40	0.33	2.5231	5
276193561	GOLD	SELL	2026.07.15 11:35	2026.07.15 11:36	4028.54	4024.63	0.01	-64.03	0.00	0.00	1	4029.09	-9.90	0.45	2.8238	5
276289697	GOLD	SELL	2026.07.15 14:42	2026.07.15 14:43	4038.07	4039.11	0.01	17.02	0.00	0.00	1	4043.18	-12.70	0.57	2.5827	5
275976613	GOLD	BUY	2026.07.14 22:10	2026.07.15 02:10	4054.35	4048.64	0.01	93.41	4.42	0.00	240	4052.28	-109.60	0.04	-24.6717	5
276017279	GOLD	SELL	2026.07.15 04:03	2026.07.15 04:33	4057.66	4048.10	0.01	-156.48	0.00	0.00	30	4052.28	-132.10	0.07	-27.2633	5
276124958	GOLD	BUY	2026.07.15 05:27	2026.07.15 09:27	4032.90	4028.17	0.01	77.19	0.00	0.00	240	4034.56	-131.80	0.08	-27.2309	5
276131392	GOLD	BUY	2026.07.15 09:27	2026.07.15 09:42	4027.64	4031.35	0.01	-60.67	0.00	0.00	14	4034.56	-131.80	0.08	-27.2309	5
276193561	GOLD	SELL	2026.07.15 11:35	2026.07.15 11:36	4028.54	4024.63	0.01	-64.03	0.00	0.00	1	4020.24	-131.80	0.08	-27.2309	5
276289697	GOLD	SELL	2026.07.15 14:42	2026.07.15 14:43	4038.07	4039.11	0.01	17.02	0.00	0.00	1	4034.56	-131.80	0.08	-27.2309	5
278899769	GOLD	SELL	2026.07.21 01:30	2026.07.21 01:34	4008.73	4006.87	0.01	-30.75	0.00	0.00	4	4009.66	-20.20	0.58	-14.5362	5
278909716	GOLD	SELL	2026.07.21 02:10	2026.07.21 02:10	4008.58	4002.14	0.01	-106.43	0.00	0.00	0	4007.14	1.10	0.00	3.5284	5
279380872	GOLD	SELL	2026.07.21 17:25	2026.07.21 17:30	4064.38	4073.05	0.01	142.70	0.00	0.00	5	4054.72	51.40	0.71	-1.4398	5
279487114	GOLD	BUY	2026.07.21 20:49	2026.07.21 21:08	4067.91	4071.37	0.01	-56.95	0.00	0.00	18	4054.72	39.50	0.29	5.6219	5
