strategy,trades,win_rate,total_pnl,avg_trade,best_trade,worst_trade
ORB,157.0,47.77070063694268,-772.782500000435,-4.922181528665191,519.4999999999936,-325.4000000000042
HFT,461.0,4.772234273318872,-1323.300000001741,-2.870498915405078,5.69999999999709,-3.30000000000382
SCALPER,55.0,7.2727272727272725,-85.00000000016371,-1.545454545457522,1.6999999999961801,-1.8000000000029104
QUANT,252.0,42.06349206349206,-368.3892857147657,-1.461862244899864,346.22142857142535,-209.81785714285706
TICK_SCALPER,101.0,2.9702970297029703,-172.8000000002885,-1.7108910891117672,1.1999999999989086,-1.8000000000029104
